Method,n,total_time_s,samples_per_second,time_per_sample_s_per_n
Python,100,3.12E-05,3205981.232,3.12E-07
Python,1000,0.000316896,3155611.396,3.17E-07
Python,10000,0.003188704,3136070.127,3.19E-07
Python,100000,0.032587679,3068644.432,3.26E-07
Python,1000000,0.342000512,2923972.227,3.42E-07
Python,10000000,3.271650221,3056561.467,3.27E-07
Python,100000000,32.22994789,3102704.365,3.22E-07
NumPy,100,6.33E-06,15789305.09,6.33E-08
NumPy,1000,1.21E-05,82529977.08,1.21E-08
NumPy,10000,7.60E-05,131607700.5,7.60E-09
NumPy,100000,0.001638708,61023669.93,1.64E-08
NumPy,1000000,0.007980833,125300197.3,7.98E-09
NumPy,10000000,0.079965942,125053238.9,8.00E-09
NumPy,100000000,0.8437198,118522760.8,8.44E-09
Numba,100,1.31E-06,76429025.38,1.31E-08
Numba,1000,9.00E-06,111111127.4,9.00E-09
Numba,10000,8.82E-05,113335756.5,8.82E-09
Numba,100000,0.000890942,112240776.9,8.91E-09
Numba,1000000,0.008870108,112738193.8,8.87E-09
Numba,10000000,0.088986492,112376607.1,8.90E-09
Numba,100000000,0.887964917,112617061.9,8.88E-09
Parallel,100,6.15E-05,1624917.187,6.15E-07
Parallel,1000,4.94E-05,20246358.32,4.94E-08
Parallel,10000,6.10E-05,163867285.8,6.10E-09
Parallel,100000,0.000133317,750093006.3,1.33E-09
Parallel,1000000,0.000942833,1060632997,9.43E-10
Parallel,10000000,0.008698992,1149558504,8.70E-10
Parallel,100000000,0.080815808,1237381670,8.08E-10
C++,100,0.006010867,16636.53622,6.01E-05
C++,1000,0.004716533,212020.1248,4.72E-06
C++,10000,0.004084217,2448449.852,4.08E-07
C++,100000,0.004620858,21641000.74,4.62E-08
C++,1000000,0.012988142,76993309.05,1.30E-08
C++,10000000,0.09564195,104556630.2,9.56E-09
C++,100000000,0.921285267,108544013,9.21E-09
Cython,100,2.24E-06,44610986.08,2.24E-08
Cython,1000,1.62E-05,61823798.62,1.62E-08
Cython,10000,0.000162258,61630168.33,1.62E-08
Cython,100000,0.001534517,65167102.26,1.53E-08
Cython,1000000,0.013558075,73756783.28,1.36E-08
Cython,10000000,0.133262017,75040137.13,1.33E-08
Cython,100000000,1.321136733,75692392.37,1.32E-08